id	gene
1412	CEACAM18
1413	AGR2
1414	LRRC15
1415	CACTIN-AS1
1416	SAG
1417	LINC00305
1418	DEFB127
1419	LOC100507600
1420	ANXA8
1421	OTP
1422	CLDN25
1423	PRSS57
1424	MOXD2P
1425	LOC100093698
1426	ISM2
1427	LOC401164
1428	MYOZ2
1429	LOC284798
1430	OR13C8
1431	LOC728739
1432	GUCA2B
1433	OR8I2
1434	CLPSL1
1435	PTGDR
1436	IDO2
1437	SPATA31E1
1438	KRT40
1439	FABP12
1440	LIPN
1441	ACTBL2
1442	IL26
1443	SAMD12-AS1
1444	XKR3
1445	KRTAP9-3
1446	OR5W2
1447	OR5D16
1448	OR10P1
1449	PHOX2A
1450	S100A5
1451	LOC400558
1452	SNORA5B
1453	FAM170B
1454	SNORD64
1455	NCF4
1456	OR14C36
1457	LOC100131726
1458	PIP
1459	DEFB134
1460	SNORD116-6
1461	OR6C2
1462	S100A7
1463	KLRG2
1464	LINC00582
1465	LINC00462
1466	LPAR3
1467	ARMS2
1468	TCF24
1469	KLKP1
1470	KRT33B
1471	OR5K3
1472	SPRR2B
1473	LOC283332
1474	LOC100144597
1475	UBE2MP1
1476	KRT38
1477	SLC7A13
1478	TMEM244
1479	CYP1A1
1480	LOC285084
1481	MYEOV
1482	IL25
1483	SCARNA18
1484	OR2M1P
1485	SNORA36A
1486	LBP
1487	OR1J2
1488	KRT82
1489	SNORD117
1490	MIR1291
1491	MIRLET7A2
1492	KLK3
1493	DGAT2L6
1494	HPSE2
1495	ARHGEF3-AS1
1496	TBX22
1497	TGIF2LX
1498	CYP4F22
1499	HAO1
1500	WWC2-AS2
1501	MIR198
1502	COX4I2
1503	C10orf53
1504	OR52E6
1505	WFDC11
1506	OR4F5
1507	FCN1
1508	C1QB
1509	KRTAP12-3
1510	SCARNA8
1511	MIR181D
1512	TMPRSS11E
1513	SNORA39
1514	CPA6
1515	TAS2R16
1516	MS4A5
1517	CARD18
1518	SYNDIG1L
1519	PVALB
1520	MIR4694
1521	XGPY2
1522	FOXF1
1523	MIR3935
1524	OR56A4
1525	CCM2L
1526	C8orf22
1527	GSTTP1
1528	SNORA36B
1529	SOX17
1530	LHX8
1531	BANCR
1532	AADACL2
1533	MYH8
1534	LINC00595
1535	LOC100169752
1536	MIR548I2
1537	OR5L1
1538	XG
1539	MACC1-AS1
1540	CLCNKB
1541	LOC100289673
1542	TM4SF19-TCTEX1D2
1543	MIR3685
1544	CYP4A22
1545	OR4L1
1546	LOC649133
1547	MIR545
1548	SNORD38B
1549	OR8S1
1550	MIR3916
1551	ASPG
